ISBN,Month,Year,In-Person Sales,Online Sales,Wholesale Sales,Total Sales,Average Price,Total Revenue,Returns,Net Sales
9780446613378,Jan,2025,22,27,7,56,$11.68,$654.21,1,55
9780316155601,Jan,2025,67,104,31,202,$16.53,"$3,338.32",9,193
9780316224185,Jan,2025,58,94,30,182,$22.47,"$4,089.65",8,174
9780316036221,Jan,2025,53,61,15,129,$16.06,"$2,072.22",2,127
9780316405935,Jan,2025,62,91,20,173,$15.10,"$2,611.63",7,166
9781594831119,Jan,2025,86,102,21,209,$14.03,"$2,931.65",9,200
9780446613347,Jan,2025,85,92,32,209,$15.33,"$3,204.92",6,203
9780316207508,Jan,2025,41,55,24,120,$14.71,"$1,765.57",2,118
9780316013949,Jan,2025,91,111,22,224,$22.27,"$4,988.60",10,214
9780316206716,Jan,2025,45,74,19,138,$24.69,"$3,407.79",3,135
9780099544067,Jan,2025,68,70,19,157,$21.50,"$3,374.76",5,152
9780446676434,Jan,2025,47,55,14,116,$15.63,"$1,812.85",4,112
9780446677387,Jan,2025,28,37,10,75,$13.04,$978.05,2,73
9780446617611,Jan,2025,25,34,11,70,$19.04,"$1,332.84",2,68
9780446611084,Jan,2025,56,47,12,115,$19.07,"$2,193.30",3,112
9780316273497,Jan,2025,32,55,13,100,$11.58,"$1,157.65",4,96
9780316561365,Jan,2025,58,78,22,158,$24.20,"$3,823.24",5,153
9780759529519,Jan,2025,30,29,8,67,$17.95,"$1,202.46",2,65
9780759529700,Jan,2025,50,88,23,161,$14.74,"$2,372.68",5,156
9780759529687,Jan,2025,87,78,37,202,$15.70,"$3,170.58",4,198
9780759529694,Jan,2025,78,82,29,189,$23.21,"$4,386.77",5,184
9780439023481,Jan,2025,31,50,10,91,$12.46,"$1,134.10",3,88
9780439023498,Jan,2025,23,28,9,60,$15.76,$945.52,1,59
9780439791465,Jan,2025,60,96,33,189,$14.78,"$2,794.01",7,182
9780545265355,Jan,2025,77,73,30,180,$14.68,"$2,642.01",8,172
9780545067485,Jan,2025,46,65,23,134,$22.10,"$2,961.45",3,131
9780439771344,Jan,2025,71,88,16,175,$11.49,"$2,009.98",3,172
9780439791434,Jan,2025,56,68,15,139,$24.06,"$3,344.96",3,136
9780439656245,Jan,2025,50,79,18,147,$14.44,"$2,122.74",4,143
9780439023511,Jan,2025,40,52,16,108,$22.88,"$2,471.42",2,106
9780439650762,Jan,2025,35,53,12,100,$13.86,"$1,386.13",4,96
9780575082526,Jan,2025,32,40,13,85,$19.71,"$1,674.93",3,82
9780575127647,Jan,2025,49,71,21,141,$12.53,"$1,767.42",4,137
9780385343336,Jan,2025,27,41,9,77,$17.56,"$1,351.91",2,75
9781616955601,Jan,2025,44,67,21,132,$23.71,"$3,130.34",6,126
9780062795250,Jan,2025,38,38,9,85,$17.30,"$1,470.62",2,83
9781616956936,Jan,2025,22,22,5,49,$21.65,"$1,060.93",1,48
9780062457790,Jan,2025,30,38,11,79,$13.10,"$1,034.78",1,78
9780486452913,Jan,2025,73,100,32,205,$22.25,"$4,561.28",6,199
9780553585971,Jan,2025,16,30,5,51,$22.38,"$1,141.43",2,49
9781451645347,Jan,2025,75,91,28,194,$19.48,"$3,779.69",8,186
9781416541448,Jan,2025,65,95,21,181,$23.50,"$4,253.73",4,177
9781439137291,Jan,2025,23,31,10,64,$16.90,"$1,081.44",1,63
9781416541455,Jan,2025,54,57,19,130,$15.65,"$2,034.37",4,126
9781439137307,Jan,2025,69,70,26,165,$21.04,"$3,471.86",7,158
9780345459206,Jan,2025,17,26,9,52,$14.80,$769.79,2,50
9780061257094,Jan,2025,29,49,12,90,$16.20,"$1,457.64",2,88
9780345472441,Jan,2025,22,31,8,61,$12.27,$748.27,2,59
9780393310757,Jan,2025,47,77,20,144,$18.97,"$2,732.22",5,139
9780393312850,Jan,2025,46,65,19,130,$12.55,"$1,631.17",5,125
9780393311631,Jan,2025,50,62,19,131,$13.45,"$1,762.32",3,128
9781852423230,Jan,2025,59,63,17,139,$19.05,"$2,647.55",6,133
9781401233792,Jan,2025,60,60,24,144,$14.27,"$2,054.80",3,141
9781595145192,Jan,2025,48,67,28,143,$17.55,"$2,509.75",3,140
9780994664112,Jan,2025,37,57,18,112,$11.14,"$1,247.49",5,107
9780994664150,Jan,2025,36,65,12,113,$15.45,"$1,746.34",4,109
9780998471426,Jan,2025,93,96,29,218,$20.51,"$4,471.48",9,209
9780992244613,Jan,2025,64,64,14,142,$14.22,"$2,019.42",6,136
9781250168450,Jan,2025,48,59,21,128,$24.27,"$3,106.06",3,125
9781250254399,Jan,2025,49,74,13,136,$23.09,"$3,139.79",5,131
9781591794677,Jan,2025,84,117,38,239,$15.83,"$3,783.63",10,229
9781903015292,Jan,2025,40,49,13,102,$17.56,"$1,790.75",3,99
9780152045708,Jan,2025,28,30,11,69,$13.49,$931.14,2,67
9780486264684,Jan,2025,38,42,12,92,$20.66,"$1,901.17",2,90
9780140447965,Jan,2025,22,27,9,58,$12.76,$740.10,2,56
9780441805907,Jan,2025,42,50,21,113,$21.35,"$2,412.63",5,108
9781407186788,Jan,2025,89,82,29,200,$16.68,"$3,335.70",4,196
9781613125342,Jan,2025,59,61,19,139,$22.16,"$3,080.16",3,136
9780997687415,Jan,2025,57,88,27,172,$23.68,"$4,072.54",3,169
9781419719097,Jan,2025,71,58,25,154,$13.67,"$2,105.55",6,148
9781613128794,Jan,2025,28,33,11,72,$12.36,$890.25,2,70
9781419704284,Jan,2025,51,92,27,170,$14.13,"$2,401.92",6,164
9780451200181,Jan,2025,39,56,18,113,$22.54,"$2,547.26",2,111
9780007111459,Jan,2025,61,61,25,147,$22.69,"$3,335.38",5,142
9780062251671,Jan,2025,41,53,23,117,$12.82,"$1,499.70",3,114
9781572702844,Jan,2025,56,58,25,139,$21.47,"$2,983.79",4,135
9780007113804,Jan,2025,39,64,18,121,$19.06,"$2,306.41",2,119
9780007120864,Jan,2025,26,27,11,64,$20.40,"$1,305.62",1,63
9780425093252,Jan,2025,24,25,10,59,$22.94,"$1,353.24",2,57
9780006499503,Jan,2025,37,44,16,97,$12.81,"$1,242.75",3,94
9780451199928,Jan,2025,88,103,30,221,$22.52,"$4,976.02",4,217
9780425205976,Jan,2025,86,96,26,208,$13.77,"$2,864.01",10,198
9780886462475,Jan,2025,67,80,27,174,$17.18,"$2,989.06",4,170
9780451199867,Jan,2025,34,45,9,88,$19.33,"$1,700.68",3,85
9781579126285,Jan,2025,66,102,35,203,$13.25,"$2,689.09",8,195
9780425135884,Jan,2025,53,69,16,138,$20.76,"$2,865.52",5,133
9780006490456,Jan,2025,93,101,34,228,$20.60,"$4,697.10",10,218
9780007119301,Jan,2025,66,79,28,173,$17.24,"$2,982.00",7,166
9780517309766,Jan,2025,77,96,26,199,$21.37,"$4,253.25",4,195
9780007171170,Jan,2025,24,27,11,62,$13.23,$820.50,2,60
9781579126261,Jan,2025,28,40,12,80,$13.95,"$1,115.68",2,78
9780006499626,Jan,2025,19,22,9,50,$12.49,$624.49,1,49
9781579126254,Jan,2025,44,62,21,127,$24.35,"$3,092.01",3,124
9781572705647,Jan,2025,69,67,19,155,$20.43,"$3,166.54",6,149
9780312975128,Jan,2025,21,23,10,54,$23.18,"$1,251.78",2,52
9781572707313,Jan,2025,64,97,28,189,$15.58,"$2,945.54",8,181
9780312979829,Jan,2025,42,60,16,118,$18.96,"$2,237.34",5,113
9780451201188,Jan,2025,62,76,25,163,$19.87,"$3,238.53",7,156
9780425100417,Jan,2025,89,101,29,219,$17.79,"$3,896.06",6,213
9781579126933,Jan,2025,31,43,20,94,$20.05,"$1,884.59",3,91
9780007119318,Jan,2025,29,27,6,62,$15.16,$940.19,2,60
9781572704572,Jan,2025,40,48,17,105,$24.97,"$2,622.32",2,103
9780007136858,Jan,2025,26,47,8,81,$16.46,"$1,333.04",2,79
9780007121021,Jan,2025,63,74,23,160,$17.37,"$2,778.96",6,154
9780921111498,Jan,2025,40,59,20,119,$11.05,"$1,314.77",4,115
9780007120697,Jan,2025,33,41,8,82,$21.56,"$1,768.20",2,80
9780007120987,Jan,2025,69,94,18,181,$20.52,"$3,713.89",4,177
9780007136803,Jan,2025,49,81,20,150,$14.50,"$2,175.72",4,146
9780312981716,Jan,2025,29,28,10,67,$12.39,$829.97,2,65
9780007119356,Jan,2025,55,100,21,176,$11.70,"$2,058.36",5,171
9780007120819,Jan,2025,57,84,27,168,$24.14,"$4,055.26",4,164
9780553119220,Jan,2025,32,29,8,69,$14.89,"$1,027.28",2,67
9780646418438,Jan,2025,28,35,10,73,$14.67,"$1,071.01",2,71
9780312981617,Jan,2025,28,34,8,70,$18.62,"$1,303.23",2,68
9780007122592,Jan,2025,19,28,6,53,$18.89,"$1,001.01",2,51
9781572705470,Jan,2025,54,88,24,166,$21.16,"$3,512.53",5,161
9780007120710,Jan,2025,49,75,21,145,$19.20,"$2,784.25",3,142
9780425205969,Jan,2025,82,88,18,188,$17.15,"$3,224.46",5,183
9780007111503,Jan,2025,41,43,11,95,$16.94,"$1,609.60",1,94
9780007119332,Jan,2025,86,100,27,213,$15.34,"$3,267.60",9,204
9780440196198,Jan,2025,75,116,36,227,$20.17,"$4,579.17",5,222
9780002314572,Jan,2025,59,89,21,169,$16.63,"$2,809.92",3,166
9780007145362,Jan,2025,25,28,8,61,$14.53,$886.19,2,59
9780007120703,Jan,2025,23,27,7,57,$11.78,$671.66,1,56
9780006499473,Jan,2025,63,95,20,178,$20.85,"$3,710.86",4,174
9781579126292,Jan,2025,26,26,7,59,$11.08,$653.98,2,57
9780573616396,Jan,2025,79,95,23,197,$17.70,"$3,486.20",7,190
9781572703858,Jan,2025,18,28,9,55,$16.65,$915.52,1,54
9780007151660,Jan,2025,40,53,17,110,$24.00,"$2,639.89",2,108
9780007120840,Jan,2025,31,30,11,72,$18.60,"$1,338.90",2,70
9780425173749,Jan,2025,45,46,9,100,$14.60,"$1,460.15",2,98
9781579126278,Jan,2025,42,56,24,122,$13.32,"$1,624.66",5,117
9780425067949,Jan,2025,43,60,14,117,$16.85,"$1,971.20",3,114
9780007122585,Jan,2025,59,67,17,143,$15.68,"$2,242.05",5,138
9780425067826,Jan,2025,40,43,13,96,$12.84,"$1,232.86",3,93
9781579126957,Jan,2025,39,45,15,99,$17.92,"$1,773.87",4,95
9780007151677,Jan,2025,41,61,15,117,$11.53,"$1,348.51",4,113
9780312981594,Jan,2025,92,95,32,219,$20.79,"$4,553.30",10,209
9780312981662,Jan,2025,36,37,14,87,$12.26,"$1,066.45",3,84
9780007154821,Jan,2025,75,84,19,178,$20.86,"$3,713.31",4,174
9780006499596,Jan,2025,36,59,17,112,$16.57,"$1,856.01",5,107
9780007120680,Jan,2025,38,63,24,125,$13.07,"$1,634.25",6,119
9780425205952,Jan,2025,31,43,15,89,$14.07,"$1,252.60",3,86
9780312330873,Jan,2025,66,87,30,183,$11.43,"$2,090.92",7,176
9780573014673,Jan,2025,47,61,19,127,$12.26,"$1,556.96",3,124
9780007121106,Jan,2025,55,85,32,172,$14.76,"$2,538.44",7,165
9780582275232,Jan,2025,57,79,27,163,$16.59,"$2,704.79",6,157
9781572703933,Jan,2025,32,43,11,86,$22.55,"$1,939.03",2,84
9780451199904,Jan,2025,53,63,16,132,$24.46,"$3,229.38",4,128
9780007154845,Jan,2025,49,83,29,161,$18.62,"$2,998.12",3,158
9780425173909,Jan,2025,72,82,38,192,$12.01,"$2,306.73",5,187
9781600963940,Jan,2025,81,91,23,195,$19.24,"$3,752.23",9,186
9781579126247,Jan,2025,21,24,5,50,$22.65,"$1,132.64",1,49
9780007274604,Jan,2025,81,103,31,215,$12.15,"$2,613.22",8,207
9788187330424,Jan,2025,30,39,13,82,$20.74,"$1,701.07",2,80
9789963715138,Jan,2025,37,58,19,114,$16.28,"$1,855.79",4,110
9780670019700,Jan,2025,37,57,14,108,$16.90,"$1,825.13",4,104
9781931859455,Jan,2025,84,99,21,204,$19.32,"$3,941.88",9,195
9780140446081,Jan,2025,56,79,16,151,$24.08,"$3,635.55",5,146
9780373210268,Jan,2025,75,95,29,199,$21.97,"$4,372.90",8,191
9780373210459,Jan,2025,91,114,38,243,$16.39,"$3,981.60",6,237
9780373210756,Jan,2025,47,73,25,145,$18.39,"$2,666.76",3,142
9781426834158,Jan,2025,49,52,24,125,$17.67,"$2,208.72",5,120
9780373210671,Jan,2025,38,46,14,98,$12.36,"$1,211.58",4,94
9780439922289,Jan,2025,47,48,18,113,$23.30,"$2,633.33",3,110
9780545518079,Jan,2025,79,100,24,203,$23.12,"$4,693.55",7,196
9780439922272,Jan,2025,99,101,39,239,$16.14,"$3,856.81",4,235
9781471607363,Jan,2025,72,64,19,155,$14.03,"$2,174.22",4,151
9781933617831,Jan,2025,34,42,11,87,$19.18,"$1,668.42",2,85
9781921529153,Jan,2025,64,73,27,164,$22.84,"$3,745.47",7,157
9781559362108,Jan,2025,24,31,13,68,$11.01,$748.88,2,66
9781617521294,Jan,2025,73,102,25,200,$16.96,"$3,392.27",4,196
9780863566370,Jan,2025,32,59,14,105,$11.66,"$1,224.62",2,103
9780399171703,Jan,2025,42,69,27,138,$11.28,"$1,556.79",3,135
9780399544682,Jan,2025,93,82,33,208,$20.81,"$4,329.34",9,199
9781979014410,Jan,2025,44,62,23,129,$17.14,"$2,211.31",4,125
9780440413141,Jan,2025,52,92,28,172,$15.64,"$2,689.36",8,164
9781922147257,Jan,2025,30,48,10,88,$17.33,"$1,525.05",3,85
9780982223215,Jan,2025,37,43,9,89,$19.95,"$1,775.85",2,87
9780982223222,Jan,2025,41,62,14,117,$14.94,"$1,748.21",4,113
9780982223208,Jan,2025,56,89,25,170,$11.85,"$2,015.02",3,167
9781466490314,Jan,2025,81,71,29,181,$11.80,"$2,135.82",5,176
9780957453701,Jan,2025,29,33,8,70,$17.16,"$1,200.92",2,68
9780316762601,Jan,2025,20,24,6,50,$24.10,"$1,204.99",1,49
9780316737654,Jan,2025,56,78,20,154,$21.16,"$3,259.00",3,151
9780316737609,Jan,2025,37,33,13,83,$11.54,$957.86,1,82
9780316737661,Jan,2025,66,76,31,173,$13.23,"$2,289.07",8,165
9780316796392,Jan,2025,42,64,19,125,$14.27,"$1,784.03",6,119
9780316780926,Jan,2025,67,78,24,169,$23.39,"$3,953.63",5,164
9780763630232,Jan,2025,43,41,17,101,$23.47,"$2,370.62",4,97
9780575004795,Jan,2025,51,50,18,119,$24.16,"$2,874.46",2,117
9780829423341,Jan,2025,58,58,13,129,$16.39,"$2,113.96",4,125
9780316161831,Jan,2025,77,85,21,183,$14.81,"$2,709.46",7,176
9780450004971,Jan,2025,68,79,26,173,$13.90,"$2,404.74",4,169
9780470601594,Jan,2025,62,79,20,161,$19.26,"$3,101.11",4,157
9781984806383,Jan,2025,48,61,12,121,$23.19,"$2,805.99",3,118
9780743291477,Jan,2025,43,47,18,108,$23.32,"$2,518.56",3,105
9781451640755,Jan,2025,43,55,21,119,$23.07,"$2,745.86",5,114
9781599900391,Jan,2025,35,29,8,72,$13.37,$962.86,2,70
9781599900797,Jan,2025,55,65,23,143,$15.23,"$2,178.19",5,138
9781582349022,Jan,2025,36,48,12,96,$20.72,"$1,989.06",3,93
9781574091526,Jan,2025,32,47,9,88,$12.56,"$1,104.93",1,87
9780866119580,Jan,2025,32,44,11,87,$12.31,"$1,070.81",4,83
9781925530247,Jan,2025,47,56,19,122,$14.85,"$1,811.91",2,120
9780752863986,Jan,2025,33,32,9,74,$19.14,"$1,416.28",3,71
9780910818117,Jan,2025,79,85,29,193,$24.49,"$4,726.91",4,189
9781508647942,Jan,2025,59,62,13,134,$23.95,"$3,209.25",2,132
9781421523347,Jan,2025,53,76,30,159,$20.02,"$3,182.86",6,153
9781421523286,Jan,2025,41,37,9,87,$12.92,"$1,124.02",4,83
9781421593470,Jan,2025,30,35,10,75,$17.50,"$1,312.25",3,72
9781421518886,Jan,2025,32,45,11,88,$12.90,"$1,135.54",4,84
9781569319307,Jan,2025,49,89,22,160,$22.69,"$3,629.78",3,157
9780575077355,Jan,2025,41,58,14,113,$19.64,"$2,218.97",5,108
9781591169208,Jan,2025,65,71,17,153,$13.45,"$2,058.36",3,150
9781421513805,Jan,2025,52,63,28,143,$17.64,"$2,522.42",4,139
9781591169239,Jan,2025,69,104,32,205,$22.22,"$4,555.77",4,201
9781421501758,Jan,2025,67,92,30,189,$20.96,"$3,960.75",6,183
9781591169291,Jan,2025,58,61,17,136,$19.74,"$2,684.77",3,133
9781421503196,Jan,2025,80,79,22,181,$18.75,"$3,393.15",8,173
9780451529756,Jan,2025,50,52,19,121,$21.95,"$2,656.20",3,118
9780857209979,Jan,2025,55,100,32,187,$13.79,"$2,578.68",4,183
9780373621552,Jan,2025,56,84,19,159,$18.01,"$2,864.28",6,153
9780373621521,Jan,2025,33,52,16,101,$18.65,"$1,883.62",3,98
9780373621514,Jan,2025,30,42,11,83,$14.74,"$1,223.33",1,82
9780373621682,Jan,2025,64,94,22,180,$20.66,"$3,719.07",5,175
9780373621651,Jan,2025,63,59,25,147,$20.16,"$2,963.16",4,143
9780373621415,Jan,2025,42,57,14,113,$22.56,"$2,548.78",2,111
9780373621569,Jan,2025,38,51,13,102,$20.41,"$2,082.29",4,98
9780373621347,Jan,2025,19,24,7,50,$16.31,$815.27,1,49
9780373621323,Jan,2025,63,88,18,169,$17.54,"$2,963.85",4,165
9780373621309,Jan,2025,43,72,20,135,$13.18,"$1,778.80",4,131
9780373621477,Jan,2025,61,77,17,155,$24.86,"$3,853.17",4,151
9780373621354,Jan,2025,42,39,13,94,$22.74,"$2,137.32",4,90
9780373621484,Jan,2025,33,50,10,93,$13.85,"$1,287.98",3,90
9780373621590,Jan,2025,36,47,13,96,$11.60,"$1,113.24",4,92
9780373621330,Jan,2025,51,68,14,133,$14.47,"$1,924.48",4,129
9780373621392,Jan,2025,60,65,20,145,$14.66,"$2,125.57",4,141
9780373621675,Jan,2025,54,57,20,131,$15.87,"$2,079.51",3,128
9780373621668,Jan,2025,34,60,12,106,$11.34,"$1,201.65",4,102
9780373621583,Jan,2025,73,87,24,184,$16.84,"$3,098.48",7,177
9780373621743,Jan,2025,52,71,25,148,$18.57,"$2,748.18",6,142
9780373621705,Jan,2025,64,91,18,173,$23.59,"$4,081.73",5,168
9780373621644,Jan,2025,86,98,25,209,$24.64,"$5,149.54",6,203
9780373621248,Jan,2025,32,36,13,81,$21.87,"$1,771.16",2,79
9780373621606,Jan,2025,25,31,10,66,$20.15,"$1,329.68",2,64
9780373621217,Jan,2025,56,84,26,166,$13.66,"$2,266.91",6,160
9780373621200,Jan,2025,48,92,29,169,$12.68,"$2,142.82",7,162
9780373621279,Jan,2025,58,59,14,131,$13.61,"$1,782.58",5,126
9780373621545,Jan,2025,87,111,33,231,$11.34,"$2,620.23",10,221
9780373621378,Jan,2025,33,45,14,92,$21.56,"$1,983.76",3,89
9780373621699,Jan,2025,53,76,26,155,$23.42,"$3,630.25",5,150
9780373621460,Jan,2025,33,38,10,81,$13.24,"$1,072.18",2,79
9780373621361,Jan,2025,38,42,11,91,$13.48,"$1,226.83",4,87
9780373621491,Jan,2025,29,46,10,85,$14.82,"$1,259.68",3,82
9780373621286,Jan,2025,40,71,22,133,$19.78,"$2,630.48",5,128
9780373621576,Jan,2025,31,48,15,94,$19.89,"$1,870.00",3,91
9780373621316,Jan,2025,26,32,7,65,$23.05,"$1,497.95",2,63
9780373621507,Jan,2025,63,98,21,182,$19.46,"$3,541.08",6,176
9780373621293,Jan,2025,43,64,12,119,$22.30,"$2,653.63",5,114
9780373621385,Jan,2025,46,55,13,114,$19.20,"$2,188.56",4,110
9780373621712,Jan,2025,85,71,23,179,$15.73,"$2,815.14",6,173
9780373621453,Jan,2025,92,97,32,221,$18.18,"$4,018.52",9,212
9780373621224,Jan,2025,66,88,24,178,$15.56,"$2,768.92",4,174
9780373621255,Jan,2025,63,76,26,165,$13.28,"$2,191.92",5,160
9780373621620,Jan,2025,26,27,9,62,$12.37,$767.24,2,60
9780373621637,Jan,2025,45,38,10,93,$22.39,"$2,082.57",4,89
9780373621736,Jan,2025,20,27,8,55,$19.74,"$1,085.89",1,54
9780373621613,Jan,2025,21,38,10,69,$13.27,$915.83,3,66
9780373621194,Jan,2025,33,49,16,98,$12.15,"$1,190.72",2,96
9780373621446,Jan,2025,59,87,37,183,$15.68,"$2,870.20",7,176
9780373621262,Jan,2025,56,95,28,179,$16.18,"$2,896.72",7,172
9780755355181,Jan,2025,59,77,24,160,$23.78,"$3,805.55",7,153
9781847154538,Jan,2025,65,71,27,163,$14.70,"$2,395.57",7,156
9781480120204,Jan,2025,72,112,24,208,$11.68,"$2,429.75",10,198
9781526360687,Jan,2025,66,93,21,180,$19.17,"$3,451.44",6,174
9781626722651,Jan,2025,54,58,23,135,$23.74,"$3,204.60",6,129
9781416911661,Jan,2025,65,114,35,214,$24.25,"$5,190.54",7,207
9781416911692,Jan,2025,19,24,8,51,$16.08,$820.14,2,49
9781416911678,Jan,2025,49,76,25,150,$22.28,"$3,342.57",6,144
9781416911685,Jan,2025,52,61,18,131,$15.97,"$2,091.70",3,128
9781862304338,Jan,2025,34,35,14,83,$18.90,"$1,568.60",2,81
9780312354282,Jan,2025,48,77,18,143,$16.15,"$2,309.35",4,139
9780062024152,Jan,2025,19,31,6,56,$15.49,$867.28,2,54
9780064472579,Jan,2025,71,85,24,180,$22.58,"$4,064.64",8,172
9780060874193,Jan,2025,33,33,12,78,$15.68,"$1,223.20",2,76
9780060874162,Jan,2025,75,104,31,210,$19.22,"$4,036.36",8,202
9781250018625,Jan,2025,31,43,13,87,$16.24,"$1,413.14",2,85
9780312577179,Jan,2025,62,64,30,156,$23.91,"$3,729.41",7,149
9780312590970,Jan,2025,34,45,10,89,$11.54,"$1,026.97",2,87
9780312590444,Jan,2025,33,44,14,91,$14.36,"$1,306.52",4,87
9780312664855,Jan,2025,70,69,30,169,$17.54,"$2,965.06",5,164
9780312648251,Jan,2025,68,68,16,152,$11.91,"$1,809.88",6,146
9780061956966,Jan,2025,41,55,12,108,$19.92,"$2,150.98",4,104
9780425244135,Jan,2025,67,60,24,151,$16.92,"$2,554.59",5,146
9780545676014,Jan,2025,46,63,17,126,$13.66,"$1,720.94",4,122
9781602862722,Jan,2025,52,77,22,151,$14.23,"$2,148.35",7,144
9780440238331,Jan,2025,78,99,23,200,$14.60,"$2,920.04",4,196
9780425241790,Jan,2025,28,54,16,98,$16.84,"$1,650.22",2,96
9780425233030,Jan,2025,24,27,8,59,$13.82,$815.20,2,57
9780425238103,Jan,2025,21,38,7,66,$13.63,$899.40,1,65
9780425220412,Jan,2025,31,34,11,76,$13.21,"$1,003.76",2,74
9780425217962,Jan,2025,68,76,19,163,$12.36,"$2,014.44",6,157
9780425214497,Jan,2025,48,74,21,143,$19.92,"$2,849.02",4,139
9780425223222,Jan,2025,57,70,21,148,$18.60,"$2,752.22",7,141
9781937804251,Jan,2025,71,73,16,160,$17.75,"$2,840.59",6,154
